factor_id,status,observations,rank_ic_mean,ic_mean,icir,long_short_return,turnover,admission
market_beta_252,pass,364845,-0.02255367704595685,-0.008701223529642383,-0.06084425945349892,-0.0003431878889399269,0.3331124706567314,watch_or_reweight
size_total_market_cap,pass,407599,0.043876880552625355,0.03254915352461236,0.17151209138915968,0.008870219465529246,0.2613487725086169,research_candidate
value_bm,pass,379165,0.05131158480219129,0.030916663580473777,0.20220778454538935,0.007885415813176942,0.24132463315241034,research_candidate
momentum_12_1,pass,366687,-0.0014258478206593118,0.002680125703573947,0.015935145900025153,0.0015026582835616156,0.4924966354361955,watch_or_reweight
profitability_roe_ttm,pass,310384,0.053687411442388804,0.04429959249389691,0.23222577998161525,0.0031288477411934553,0.25653729992341745,research_candidate
investment_asset_growth,pass,357390,-0.005783490671876806,-0.004400652397515864,-0.045326554534454486,-0.0009730242484197148,0.2971526747219681,watch_or_reweight
abnormal_turnover_21_252,pass,384360,0.07347550879914577,0.06451884525904304,0.5676676444879237,0.01838585572212672,0.6929133490684236,research_candidate
