factor_id,status,observations,rank_ic_mean,ic_mean,icir,long_short_return,long_short_t_stat,long_short_t_stat_method,long_short_observations,turnover,admission
market_beta_252,pass,12544,0.008960044006812802,0.01719236773396373,0.12595062371818125,0.0016640123439980216,0.32680876552275684,newey_west,15,0.3332260377853736,research_candidate
size_total_market_cap,pass,20230,0.11558322085903217,0.09670695792414401,0.6308260284980214,0.02974583802311293,2.5415007989403517,newey_west,23,0.24332759905592666,research_candidate
value_bm,pass,1344,0.11512566361092286,0.09606894581999197,0.37909793629815386,0.019737512285037236,0.9322249129965399,newey_west,20,0.2931514392040708,research_candidate
momentum_12_1,pass,9925,0.021135154303714737,0.025329156570398952,0.23109191564851786,0.007251954834166754,1.0114587335204563,newey_west,11,0.4640288624457141,research_candidate
profitability_roe_ttm,pass,304,0.015140006536803679,0.112046536329173,0.46628315579603863,0.007074198624032187,0.3764514181368416,newey_west,8,0.25595238095238093,research_candidate
investment_asset_growth,pass,499,0.05749140109085571,0.013813022685378679,0.07923818037833055,-0.007646320904699954,-0.8348365667755897,newey_west,9,0.18467261904761906,watch_or_reweight
abnormal_turnover_21_252,pass,13659,0.08460253989200735,0.07223510260012714,0.7058455436530842,0.014527099116545135,2.629703693396272,newey_west,15,0.7249580787854661,research_candidate
